first,second,count
Alef,Lamed,800
Ayin,Lamed,710
Alef,Taw,688
Kaf,Yod,423
Ayin,Dalet,340
Dalet,Yod,339
Mem-medial,Nun-final,338
Lamed,Alef,286
Ayin,Mem,270
Kaf,He,209
Kaf,Lamed,198
Lamed,Waw,185
Bet,Waw,156
Lamed,He,154
Lamed,Yod,152
Alef,Mem,128
Alef,Waw,127
Bet,He,125
He,Mem,120
Dalet,Nun-final,112
Mem-medial,He,88
Shin,Mem,70
Nun-medial,Waw,69
Lamed,Kaf-final,69
Kaf,Nun-final,65
Bet,Mem,65
Pe,Yod,59
Bet,Nun-final,58
Waw,Waw,56
He,Waw,46
Waw,Alef,44
Mem-medial,Yod,42
Lamed,Bet,41
Zayin,He,41
Het,Dalet,38
Yod,Dalet,38
Bet,Alef,37
Resh,Ayin,37
Alef,Pe-final,33
Bet,Yod,31
Alef,Shin,29
Ayin,Taw,28
Het,Yod,28
He,Yod,28
Bet,Resh,28
Nun-medial,Yod,27
Waw,He,26
He,Nun-final,25
Pe,Nun-final,25
Resh,Bet,24
Kaf,Kaf,24
Gimel,Mem,23
He,Alef,21
Shin,Lamed,21
Waw,Mem,21
Bet,Lamed,19
Kaf,Mem,19
Dalet,Alef,18
Qof,Tsadi-final,18
Lamed,Mem,18
Shin,Shin,17
Dalet,Mem,16
Resh,Qof,16
Nun-medial,Alef,16
Shin,Resh,16
Mem-medial,Alef,14
Yod,Shin,14
Bet,Taw,14
Alef,Zayin,13
He,Resh,13
Waw,Kaf-final,12
Nun-medial,He,11
Het,Gimel,11
Resh,Zayin,10
Qof,Het,10
Alef,Bet,10
Bet,Kaf-final,10
Mem-medial,Taw,10
Ayin,Mem-medial,9
Waw,Yod,9
Ayin,Tsadi-final,9
Tet,Bet,8
He,He,7
Qof,Waw,7
Mem-medial,Waw,7
Yod,Mem,6
Yod,Alef,6
Het,Mem,6
Resh,Mem,6
He,Kaf-final,5
Alef,Nun-final,5
Pe,He,5
Dalet,Nun-medial,5
Taw,Nun-final,5
Bet,Dalet,5
Zayin,Resh,5
Kaf,Het,5
He,Mem-medial,4
Alef,Mem-medial,4
Yod,Taw,4
Shin,Bet,4
Gimel,Nun-final,4
Shin,Alef,4
Resh,Shin,4
Yod,He,4
Qof,Tsadi-medial,4
Ayin,Nun-final,4
Shin,He,4
Alef,Pe,4
Alef,Kaf-final,4
Nun-medial,Samekh,3
Zayin,Yod,3
Gimel,Dalet,3
Shin,Nun-final,3
Shin,Mem-medial,3
He,Bet,3
Gimel,Resh,3
Mem-medial,Kaf-final,2
Tsadi-medial,Lamed,2
Gimel,Yod,2
Pe,Resh,2
Qof,Mem,2
Shin,Dalet,2
Shin,Taw,2
Het,Nun-final,2
Ayin,Tsadi-medial,2
Resh,Samekh,2
Ayin,Zayin,2
Dalet,He,2
Tet,Lamed,2
Het,Qof,2
Dalet,Resh,2
Tsadi-medial,Waw,2
Yod,Zayin,2
Kaf,Alef,2
Nun-medial,Tsadi-final,2
Qof,Lamed,2
Waw,Lamed,2
